"English","Logical","Quant","Domain","ComputerProgramming","ElectronicsAndSemicon","ComputerScience","MechanicalEngg","ElectricalEngg","TelecomEngg","CivilEngg","conscientiousness","agreeableness","extraversion","nueroticism","openess_to_experience","Salary"
"500","560","560","0.376059586651545","-1","300","-1","-1","-1","-1","-1","-0.5719","0.8351","0.2477","-0.6428","-0.4455","145000"
"545","535","605","0.986525019020638","-1","-1","-1","580","-1","-1","-1","-0.3027","1.5444","0.3174","1.5404","0.8637","100000"
"505","445","575","0.864685413370085","525","-1","-1","-1","-1","-1","-1","0.0464","0.2668","-1.7954","-0.6428","-1.2354","300000"
"325","375","370","0.911395278391328","495","-1","500","-1","-1","-1","-1","0.2718","-0.1206","0.3174","-1.8824","-0.4776","240000"
"625","585","530","0.376059586651545","-1","300","-1","-1","-1","-1","-1","0.7419","0.8128","-1.6502","-0.8778","-0.2875","500000"
"355","485","425","0.0587928000083534","325","200","-1","-1","-1","-1","-1","-0.2628","-0.5913","-0.1988","1.2374","-0.168999999999999","300000"
"490","615","725","0.744758354008939","595","-1","438","-1","-1","-1","-1","-0.3027","-0.7866","-1.527","1.9207","-1.6273","300000"
"544","415","504","0.0587928000083534","335","200","-1","-1","-1","-1","-1","-0.5719","-0.2793","0.672","-0.6428","-0.2875","510000"
"345","495","325","0.622642915849938","445","-1","407","-1","-1","-1","-1","-0.7335","0.0459","-0.1437","1.0333","-0.8608","150000"
"300","520","330","0.744758354008939","335","-1","438","-1","-1","-1","-1","-0.3027","0.2124","1.0859","1.1601","-0.4776","240000"
"525","605","595","0.376059586651545","-1","300","-1","-1","-1","-1","-1","-2.272","0.2668","-0.9245","1.0024","0.6603","145000"
"415","355","455","0.245455659999829","335","-1","-1","-1","-1","-1","-1","0.51","1.1248","-0.7794","-0.2609","-0.6035","240000"
"430","510","415","0.342314899911815","365","-1","-1","-1","-1","-1","-1","0.7027","-1.1196","-0.1437","0.3995","0.2889","310000"
"435","465","465","0.704090412131314","465","-1","-1","-1","-1","-1","-1","-3.6631","-2.1513","0.0914","1.32552999999999","-1.2354","450000"
"405","385","585","0.635978756456794","445","-1","-1","-1","-1","-1","-1","-1.8083","-0.5913","-0.9245","-0.0552","0.3444","380000"
"465","510","570","0.783303536670298","445","388","-1","-1","-1","484","-1","-0.159","1.2114","0.4711","-1.6289","0.0973","300000"
"500","415","485","0.704090412131314","465","-1","-1","-1","-1","-1","-1","0.1282","0.8784","0.6248","-0.3612","-0.6692","300000"
"350","470","405","0.207392169717661","355","260","-1","-1","-1","-1","-1","1.7081","0.7119","0.6248","-1.3753","0.6721","200000"
"615","425","440","0.493596387301038","405","324","-1","-1","-1","452","-1","-0.3027","1.0449","1.3933","0.1459","0.8637","170000"
"345","570","220","0.843123726665742","515","-1","-1","-1","-1","-1","-1","0.2718","0.3789","0.6248","-1.3753","-0.6692","95000"
"640","500","545","0.953899775079926","464","-1","530","-1","-1","-1","-1","0.5591","1.0449","-0.1437","-0.6147","-0.8608","335000"
"490","530","370","0.0409993103614119","405","-1","223","-1","-1","-1","-1","-1.5953","0.5454","-0.7585","0.5262","-0.6692","110000"
"565","515","575","0.229481754911755","325","266","-1","-1","-1","-1","-1","0.6646","1.1248","1.5428","-0.4078","0.3444","450000"
"500","425","385","0.704090412131314","465","-1","-1","-1","-1","-1","-1","0.8463","0.0459","1.7007","-0.4879","0.0973","200000"
"555","450","470","0.486747008438193","465","-1","376","-1","-1","-1","-1","-1.1644","1.2114","0.4711","-0.1076","-0.6692","310000"
"425","415","375","0.0684457505037512","-1","-1","-1","254","-1","-1","-1","1.4374","1.1248","1.2525","0.53233","0.4234","200000"
"545","500","455","0.600057182338341","435","-1","-1","-1","-1","-1","-1","-1.4517","-2.1186","-0.6048","0.9066","-1.6273","240000"
"725","505","415","0.704090412131314","465","-1","-1","-1","-1","-1","-1","0.51","1.4368","-0.0537","-1.34787","0.8973","300000"
"380","440","385","0.414337426422751","-1","-1","-1","366","-1","-1","-1","-0.3027","-0.2871","0.01","0.0192","-0.6692","75000"
"645","465","575","0.525922584252055","415","-1","-1","-1","-1","-1","-1","-0.4173","-1.8393","-0.344","1.1199","0.1864","330000"
"430","570","615","0.744758354008939","525","-1","438","-1","-1","-1","-1","-1.308","-1.1196","0.4711","0.0192","0.6721","140000"
"700","505","585","0.486747008438193","485","-1","376","-1","-1","-1","-1","0.2718","0.0459","-1.0659","-2.136","-1.244","320000"
"305","395","455","0.654107474545933","165","-1","-1","420","-1","-1","-1","0.2009","-0.9033","0.3817","0.2973","0.3444","1210000"
"545","645","735","0.879915203272648","-1","-1","-1","-1","-1","-1","-1","-0.7335","1.5444","-0.1437","-2.136","0.6721","700000"
"395","325","585","0.744758354008939","395","-1","438","-1","-1","-1","-1","0.8192","0.5008","0.2366","-0.05527","0.6603","120000"
"465","390","355","0.356536487724475","355","-1","346","-1","-1","-1","-1","-0.0154","-0.2871","0.3174","0.1459","0.0973","200000"
"495","565","454","0.968237495890543","605","-1","-1","-1","-1","-1","-1","0.0464","-0.1232","-0.4891","0.2973","0.9763","315000"
"675","605","620","0.985461394326131","515","500","-1","-1","-1","-1","-1","-0.0154","1.0449","0.4711","1.0333","1.0554","305000"
"405","485","680","0.376059586651545","365","300","-1","-1","-1","-1","-1","-2.272","0.0328","-0.2714","1.1199","-0.4455","335000"
"525","465","645","0.538386892985096","385","333","-1","-1","-1","260","-1","-1.9629","0.8128","0.2366","0.6498","0.0284","410000"
"485","525","620","0.953899775079926","535","-1","530","-1","-1","-1","-1","0.5591","0.5454","1.7007","-2.0092","1.247","200000"
"535","435","500","0.207392169717661","305","260","-1","-1","-1","-1","-1","-0.159","0.8784","0.4711","0.2727","0.6721","315000"
"510","355","340","0.123016731640823","285","-1","-1","-1","-1","-1","-1","-0.159","-0.2871","0.4711","0.2727","-0.4776","120000"
"445","565","615","0.694479327708463","-1","366","-1","-1","-1","-1","-1","1.1283","1.1248","-0.344","-0.407769999999999","0.8973","310000"
"510","590","510","0.783303536670298","395","388","-1","-1","-1","-1","-1","0.8463","-0.4536","0.3174","-0.995","0.0973","375000"
"430","470","500","0.299597296248525","-1","260","-1","-1","-1","-1","-1","0.2718","0.3789","0.4711","-0.2344","0.4805","240000"
"440","300","285","-1.0","-1","-1","-1","-1","-1","-1","-1","1.8517","0.8784","1.547","-0.2344","0.4805","295000"
"565","475","464","0.0684457505037512","-1","-1","-1","254","-1","-1","-1","-1.4992","-1.2153","-0.9245","-0.5253","-1.8278","360000"
"445","465","565","0.376059586651545","375","300","-1","-1","-1","-1","-1","0.3555","0.6568","0.9623","0.6498","0.5024","260000"
"405","395","390","0.486747008438193","495","-1","376","-1","-1","-1","-1","-0.7335","-0.1206","0.7785","0.653","0.0973","180000"
"500","545","665","0.842248322257836","485","-1","469","-1","-1","-1","-1","-1.4517","-0.6201","-1.8344","-0.1076","0.6721","100000"
"475","460","530","0.744758354008939","405","-1","438","-1","-1","-1","-1","1.2772","1.5444","1.8543","1.0333","1.247","160000"
"365","365","425","0.377551419424541","375","-1","-1","-1","-1","-1","-1","-0.4173","-0.1232","-0.0537","-0.4078","-0.1295","310000"
"535","505","510","0.338786347219528","-1","292","-1","-1","-1","-1","-1","-0.5899","-2.2851","-0.7585","0.0192","-2.5853","80000"
"685","565","645","0.953899775079926","595","-1","530","-1","-1","-1","-1","1.4208","1.2114","0.3174","-1.5021","0.2889","325000"
"485","445","575","0.413838255788123","385","-1","-1","-1","-1","-1","-1","-0.4173","0.1888","0.5269","-1.1422","0.0284","400000"
"590","610","635","0.840840968763718","-1","-1","-1","473","-1","-1","-1","0.8463","0.0459","0.7785","-1.8824","0.4805","475000"
"450","510","620","0.744758354008939","315","-1","438","-1","-1","-1","-1","1.4208","-0.1206","0.4711","-1.3753","1.6302","180000"
"605","404","454","0.824666400671332","-1","400","407","-1","-1","-1","-1","1.0896","1.5928","0.672","-1.05407","0.1864","250000"
"490","410","485","0.450876584483451","395","-1","-1","-1","-1","-1","-1","1.1336","0.3789","-0.1437","-0.8682","-0.4776","150000"
"365","385","454","0.765673581234011","485","-1","-1","-1","-1","-1","-1","0.6646","0.3448","-1.0697","0.2973","-0.9194","100000"
"490","395","485","0.911395278391328","425","-1","500","-1","-1","-1","-1","-0.0154","-0.6201","-0.2974","0.7798","-1.8189","300000"
"525","575","655","0.901489571371033","545","-1","-1","-1","-1","-1","-1","-2.8903","1.2808","0.8171","-0.8778","0.3444","465000"
"375","465","265","0.0233121682429863","-1","166","-1","-1","-1","260","-1","-1.1901","0.1888","-1.5051","-1.34787","-0.7615","200000"
"455","505","465","0.884122511593735","535","-1","-1","-1","-1","-1","-1","-1.7389","-1.2861","-1.3733","-0.6147","-0.4776","360000"
"505","485","615","0.824666400671332","405","400","-1","-1","-1","-1","-1","-0.5719","-1.0593","-0.1988","1.1199","1.1343","400000"
"395","425","575","0.229481754911755","435","266","-1","-1","-1","-1","-1","0.8192","0.5008","0.3817","-0.0552","-0.2875","720000"
"485","505","375","0.635978756456794","445","-1","-1","-1","-1","-1","-1","0.51","1.7488","0.2366","-1.2303","0.9763","505000"
"365","515","645","0.979521744319216","625","-1","-1","-1","-1","-1","-1","-0.880999999999999","0.5008","0.9623","-0.7603","-0.1295","380000"
"370","500","455","0.704090412131314","465","-1","-1","-1","-1","-1","-1","0.5591","0.2124","-0.4511","-1.3753","0.6721","375000"
"485","315","545","0.694479327708463","345","366","-1","-1","-1","-1","-1","-3.0448","-1.0593","-0.6343","0.7673","0.1864","290000"
"545","620","515","0.960903087163164","595","-1","-1","-1","-1","-1","-1","0.4155","1.0449","1.3933","-0.4879","-0.0943","350000"
"275","365","395","0.525922584252055","415","-1","-1","-1","-1","-1","-1","0.2009","-0.2793","0.2366","1.4724","0.0284","100000"
"545","535","470","-1.0","-1","-1","-1","-1","-1","-1","-1","0.1282","1.0449","-0.2974","-0.995","0.4805","230000"
"375","535","575","0.600057182338341","435","-1","-1","-1","-1","-1","-1","0.6646","-0.1232","1.5428","0.0623","0.3444","315000"
"675","655","585","0.783303536670298","485","388","-1","-1","-1","-1","-1","0.8463","0.8784","-0.1437","-0.7415","-1.0524","615000"
"430","350","475","0.622642915849938","515","-1","407","-1","-1","-1","-1","1.4208","1.2114","1.2396","-1.1218","1.247","200000"
"380","510","515","0.635978756456794","445","-1","-1","-1","-1","-1","-1","-1.4517","-1.2861","-0.1437","1.1601","-1.4356","180000"
"300","435","390","0.0329370177076901","-1","-1","-1","223","-1","-1","-1","1.8517","-0.2871","1.0859","1.6672","-0.2859","260000"
"555","535","655","0.916869961103619","555","-1","-1","-1","-1","-1","-1","1.2828","1.1248","-0.6343","-1.3478","1.1343","1110000"
"415","525","625","0.824666400671332","-1","400","-1","-1","-1","366","-1","-1.8083","-0.2793","-0.6343","0.0623","-0.1295","170000"
"525","530","520","0.979521744319216","625","-1","-1","-1","-1","-1","-1","-0.159","0.8784","1.0859","-0.995","1.0554","180000"
"590","575","635","0.649389714846691","525","356","-1","-1","-1","-1","-1","1.1336","0.5454","0.01","-2.0092","0.8637","340000"
"405","585","415","0.600057182338341","435","-1","-1","-1","-1","-1","-1","-1.0355","0.5008","-0.0537","1.4724","1.4502","145000"
"395","425","425","0.744758354008939","385","-1","438","-1","-1","-1","-1","0.4155","-0.6504","0.3034","0.653","-0.4392","120000"
"465","595","575","0.376059586651545","395","300","-1","-1","-1","313","-1","0.3555","0.9688","0.3817","-1.3478","0.1864","180000"
"615","415","680","0.338786347219528","425","292","-1","-1","-1","393","-1","1.5644","1.5444","1.8543","-0.3612","0.0973","325000"
"615","525","430","0.328746378624932","-1","-1","-1","346","-1","-1","-1","-0.5899","0.5454","0.3174","-0.7415","-0.8608","95000"
"430","375","530","0.986525019020638","-1","-1","-1","580","-1","-1","-1","-1.8083","-1.9953","-2.521","1.0747","-2.0253","205000"
"485","535","590","0.911395278391328","535","-1","500","-1","-1","-1","-1","0.99","1.2114","1.2396","-2.643","1.6302","280000"
"580","470","425","0.911395278391328","535","-1","500","-1","-1","-1","-1","1.7081","1.0449","1.547","0.0192","0.6721","215000"
"380","475","575","0.538386892985096","375","333","-1","-1","473","-1","-1","0.8463","1.2114","0.1637","-0.7415","1.0554","200000"
"440","425","415","0.356536487724475","465","-1","346","-1","-1","-1","-1","-0.159","0.2124","-1.0659","-0.4879","0.2889","350000"
"455","395","385","0.308400582860308","355","366","-1","-1","-1","-1","-1","-0.2628","-0.4353","1.2525","0.0623","-0.9194","190000"
"454","535","464","0.765673581234011","485","-1","-1","-1","-1","-1","-1","-1.0355","0.8128","-1.2148","1.0024","1.6082","520000"
"445","455","405","0.538386892985096","325","333","-1","366","-1","-1","340","1.1283","-0.4353","0.3817","0.1798","0.5024","335000"
"345","375","315","0.342314899911815","365","-1","-1","-1","-1","-1","-1","-1.1128","-1.3713","-0.344","1.1492","-2.6572","220000"
"525","525","565","0.538386892985096","-1","333","-1","-1","-1","-1","-1","-1.9629","-1.9953","-1.6502","0.6498","-1.2354","450000"
"635","525","525","0.694479327708463","385","366","-1","-1","-1","313","-1","0.0464","0.3448","0.9623","-0.2902","0.5024","445000"
"450","555","445","0.744758354008939","455","-1","438","-1","-1","-1","-1","-0.159","-0.4536","0.9322","-0.2344","-0.6692","200000"
"545","605","575","0.824666400671332","535","400","-1","-1","-1","-1","-1","-3.0315","-2.1186","-1.0659","0.3995","-1.6273","420000"
"560","455","405","0.23780283983757","505","-1","315","-1","-1","-1","-1","1.9953","1.0449","0.4711","-1.6289","0.8637","100000"
"405","585","334","0.308400582860308","355","-1","-1","-1","-1","-1","-1","0.0464","0.9688","-0.1988","-0.7015","-1.2354","120000"
"440","540","535","0.75618011362902","465","-1","-1","-1","-1","388","-1","-2.1698","-4.2831","-1.8344","-0.4879","-5.0763","315000"
"535","455","525","0.843123726665742","515","-1","-1","-1","-1","-1","-1","-0.2628","0.1888","0.3817","-0.2902","1.6082","480000"
"325","530","405","0.356536487724475","275","-1","346","-1","-1","-1","-1","0.99","0.3789","-0.2974","-1.1218","-1.244","145000"
"725","465","555","0.600057182338341","435","-1","-1","-1","-1","-1","-1","-0.4173","0.7348","-0.0537","-0.52527","-0.4455","450000"
"535","475","415","0.538386892985096","-1","333","-1","-1","-1","286","-1","-0.5719","-0.1232","0.3817","-0.5253","0.5419","235000"
"650","565","595","0.338786347219528","505","292","-1","-1","-1","-1","-1","0.7027","0.2124","-0.2974","0.3995","1.0554","330000"
"585","525","475","0.735795709224656","475","-1","-1","-1","-1","-1","-1","-0.1082","0.3448","-0.9245","-0.7603","-0.7615","320000"
"825","505","485","0.884122511593735","535","-1","-1","-1","-1","-1","-1","0.51","0.8128","1.2525","0.8848","0.5024","715000"
"395","540","535","0.992259189330951","665","-1","-1","-1","-1","-1","-1","0.4155","-0.4536","-1.8344","-0.8682","-0.0943","145000"
"440","655","705","0.837620725714257","285","-1","-1","-1","500","-1","-1","-1.0208","0.3789","0.6248","-1.6289","-0.2859","180000"
"525","305","405","0.245455659999829","335","-1","-1","-1","-1","-1","-1","0.51","0.0328","-0.7794","-0.2902","0.7788","180000"
"535","470","585","0.622642915849938","385","-1","407","-1","-1","-1","-1","0.99","1.0449","0.6248","-0.8682","-1.6273","75000"
"525","435","505","0.488347976782714","405","-1","-1","-1","-1","-1","-1","-1.4606","-1.0593","-0.344","1.1492","-2.3412","280000"
"525","625","585","0.635978756456794","445","-1","-1","-1","-1","-1","-1","0.51","1.1248","0.5269","-0.7603","0.6603","390000"
"570","545","500","0.829584599793067","-1","-1","-1","469","-1","-1","-1","0.99","0.8784","0.6248","-1.5021","0.6721","325000"
"520","460","620","0.493596387301038","455","324","-1","-1","-1","-1","-1","0.99","0.5454","0.7785","-1.6289","0.6721","300000"
"615","610","680","0.978799292641428","495","-1","561","-1","-1","-1","-1","0.2718","0.8784","-1.6807","1.0333","0.6721","450000"
"555","605","560","0.486747008438193","465","-1","376","-1","-1","-1","-1","0.9737","1.4368","0.5994","-0.2902","0.3444","505000"
"440","315","430","0.538386892985096","-1","333","-1","-1","-1","420","-1","-0.4463","-1.9521","-0.4511","-0.4879","-1.4356","240000"
"625","495","430","0.793580614548506","495","-1","-1","-1","-1","-1","-1","-0.8772","-0.6201","-0.4511","0.653","-0.4776","240000"
"485","505","505","0.600057182338341","435","-1","-1","-1","-1","-1","-1","-1.0355","-0.1232","0.2366","-0.6428","-0.6035","200000"
"520","575","650","0.486747008438193","695","-1","376","-1","-1","-1","-1","0.5591","-0.4536","-0.6048","-0.6147","-0.0943","450000"
"534","575","685","0.376059586651545","-1","300","-1","-1","-1","-1","-1","-0.5719","1.5928","0.5269","-0.1727","0.1864","335000"
"545","485","544","0.884122511593735","535","-1","-1","-1","-1","-1","-1","0.51","0.5008","0.672","-0.43717","0.3444","310000"
"645","485","544","-1.0","355","-1","-1","-1","-1","-1","-1","0.51","0.5008","0.672","0.0623","0.6603","450000"
"444","555","695","0.999904558268382","804","-1","-1","-1","-1","-1","-1","0.6646","0.3448","0.8171","0.6498","0.0284","600000"
"650","570","750","-1.0","515","-1","-1","-1","-1","-1","-1","0.5591","0.3789","-0.1437","-0.2344","0.6721","335000"
"455","595","545","0.112139438207403","425","228","-1","-1","-1","-1","-1","1.2772","1.2114","1.3933","-0.1076","0.8637","150000"
"325","475","370","0.622642915849938","425","-1","407","-1","-1","-1","-1","-1.308","-0.2871","-0.2974","1.1601","-1.244","180000"
"640","570","495","0.356536487724475","535","-1","346","-1","-1","-1","-1","-0.4463","0.8784","0.4711","-2.136","0.6721","360000"
"440","560","545","0.793580614548506","495","-1","-1","-1","-1","-1","-1","0.5591","0.3789","1.3933","-1.2486","-1.0524","180000"
"450","450","445","0.124502074009537","-1","233","-1","-1","-1","-1","-1","0.4155","0.3789","1.2396","1.0333","-0.0943","180000"
"465","475","385","0.356536487724475","525","-1","346","-1","-1","-1","-1","0.1282","0.8784","-0.1437","-0.2344","0.2889","240000"
"580","615","510","0.953899775079926","485","-1","530","-1","-1","-1","-1","0.5591","1.0449","-0.6048","0.7798","-1.0524","350000"
"495","465","575","0.124502074009537","275","233","-1","180","-1","-1","-1","-0.4173","-0.7473","-0.0537","0.2973","0.0284","400000"
"560","340","390","0.328746378624932","-1","-1","-1","346","-1","-1","-1","-0.0154","-0.6201","-0.4511","0.1459","-1.244","150000"
"755","640","740","0.998876108102859","685","-1","653","-1","-1","-1","-1","-0.2632","0.8993","-0.4226","-0.3414","0.1275","150000"
"465","575","625","0.864685413370085","525","-1","-1","-1","-1","-1","-1","1.2828","0.7348","0.0552","-0.0552","-0.9194","455000"
"490","590","655","-1.0","385","-1","-1","-1","-1","-1","-1","0.5591","0.7119","0.4711","-1.6289","0.6721","240000"
"375","495","445","0.376059586651545","-1","300","-1","-1","-1","-1","-1","0.51","0.3448","0.2075","0.9169","0.0284","350000"
"425","515","655","0.930370607202691","565","-1","-1","-1","-1","-1","-1","0.0464","1.3198","-0.4891","-1.11277","-0.2875","385000"
"640","610","650","0.995613796625388","-1","-1","-1","616","-1","-1","-1","1.2828","0.8128","0.0914","-0.8778","0.6603","440000"
"535","460","680","0.974396112538398","615","-1","-1","-1","-1","-1","-1","0.4155","-0.4536","0.9322","-0.995","-0.4776","380000"
"425","535","605","0.694479327708463","-1","366","-1","-1","-1","-1","-1","1.4374","0.1498","-0.598","-1.58287","-0.7615","420000"
"505","525","505","0.960603251997053","-1","466","-1","-1","-1","-1","-1","0.0464","0.9688","-0.1626","1.3549","-0.7615","360000"
"730","570","665","0.661834475840071","-1","-1","-1","-1","446","-1","-1","-0.5899","-0.7866","1.0859","-0.1076","-0.4776","320000"
"535","535","455","0.600057182338341","435","-1","-1","-1","-1","-1","-1","-0.2628","1.5538","0.5994","-0.29027","0.3444","355000"
"485","440","445","0.356536487724475","485","-1","346","-1","-1","-1","-1","0.2718","0.2124","0.7785","1.9207","-0.6692","180000"
"655","415","485","0.376059586651545","345","300","-1","-1","-1","-1","-1","-0.4173","0.1888","-0.344","-1.4653","-0.6035","490000"
"345","385","345","0.600057182338341","435","-1","-1","-1","-1","-1","-1","-2.272","-1.5273","-1.0697","0.7673","-0.4455","300000"
"475","500","235","0.413838255788123","385","-1","-1","-1","-1","-1","-1","0.5591","1.0449","1.2396","0.3995","1.0554","2000000"
"630","510","485","0.622642915849938","585","-1","407","-1","-1","-1","-1","1.2772","0.0459","0.3174","-0.995","1.0554","120000"
"455","565","565","0.694479327708463","365","366","-1","-1","-1","-1","-1","0.9737","1.2808","0.8171","-0.0552","1.4502","240000"
"735","595","545","0.999910407631314","535","-1","715","-1","-1","-1","-1","1.9953","1.0449","-0.1437","-2.3895","0.2889","325000"
"455","455","465","0.144789889482462","335","-1","284","-1","-1","-1","-1","-1.308","0.3789","-0.9122","0.2727","0.0973","100000"
"630","565","620","0.842248322257836","465","-1","469","-1","-1","-1","-1","-0.159","0.5454","0.3174","0.1459","-0.2859","180000"
"500","400","475","0.125690182237981","375","-1","-1","284","-1","-1","-1","-2.457","-0.7866","0.01","0.2727","-2.2021","250000"
"455","485","605","0.863724177728167","425","-1","-1","-1","-1","-1","-1","-2.7443","0.2124","-1.527","1.1601","-0.2859","300000"
"404","495","405","0.279258511565122","255","-1","-1","-1","-1","292","-1","0.2718","-0.9531","0.4711","-1.1218","-1.0524","220000"
"545","670","680","0.842248322257836","725","-1","469","-1","-1","-1","-1","-0.4463","1.2114","1.0859","-0.8682","0.4805","1500000"
"505","404","524","0.535862819499896","295","-1","-1","393","-1","-1","-1","0.6646","1.7488","0.2366","0.5323","0.6603","275000"
"580","605","570","0.622642915849938","585","-1","407","-1","-1","-1","-1","-1.308","-1.7856","-0.6048","1.0333","-2.5853","500000"
